CUST_ID,PURCHASES,INSTALLMENTS_PURCHASES,CASH_ADVANCE,CASH_ADVANCE_TRX,PURCHASES_TRX,CREDIT_LIMIT,PAYMENTS
C10001,95.4,95.4,0,0,2,1000,201.802084
C10002,0,0,6442.945483,4,0,7000,4103.032597
C10003,773.17,0,0,0,12,7500,622.066742
C10004,1499,0,205.788017,1,1,7500,0
C10005,16,0,0,0,1,1200,678.334763
C10006,1333.28,1333.28,0,0,8,1800,1400.05777
C10007,7091.01,688.38,0,0,64,13500,6354.314328
C10008,436.2,436.2,0,0,12,2300,679.065082
C10009,861.49,200,0,0,5,7000,688.278568
C10010,1281.6,0,0,0,3,11000,1164.770591
C10011,920.12,920.12,0,0,12,1200,1083.301007
C10012,1492.18,0,0,0,6,2000,705.618627
C10013,3217.99,717.76,0,0,26,3000,608.263689
C10014,2137.93,1717.97,0,0,26,7500,1655.891435
C10015,0,0,346.81139,1,0,3000,805.647974
C10016,1611.7,1611.7,2301.491267,4,11,8000,1993.439277
C10017,0,0,2784.274703,3,0,3000,391.974562
C10018,519,519,0,0,8,2500,254.590662
C10019,504.35,338.35,0,0,9,13000,1720.837373
C10020,398.64,398.64,0,0,12,4000,1053.980464
C10021,176.68,176.68,0,0,8,2000,223.0686
C10022,6359.95,449.91,229.028245,6,92,11250,2077.959051
C10023,815.9,815.9,0,0,17,1800,2359.629958
C10024,4248.35,793.79,7974.415626,13,13,9000,9479.043842
C10025,0,0,798.949863,4,0,6000,1422.726707
C10026,399.6,399.6,0,0,12,3000,215.306142
C10027,102,0,244.840485,5,2,1700,890.178845
C10028,233.28,233.28,0,0,12,1000,207.773715
C10029,387.05,182.5,2236.145259,16,8,10500,1601.448347
C10030,100,100,0,0,5,6900,160.767773
C10031,3038.01,2024.81,3183.583301,10,64,13000,4230.323491
C10032,1347.71,947.71,175.815755,2,45,6000,645.998299
C10033,324.95,0,1189.533753,3,3,10500,1720.118876
C10034,636.79,0,0,0,11,1200,423.449696
C10035,547.28,547.28,0,0,14,11000,8735.607835
C10036,0,0,99.264367,1,0,1800,351.500199
C10037,0,0,8873.375046,11,0,9000,1636.361601
C10038,2380.55,738.38,1697.660901,7,41,5000,1617.894416
C10039,204,0,2925.699862,12,2,9000,1237.111661
C10040,963.24,0,6173.682877,6,6,7500,20071.07544
C10041,0,0,3133.063934,3,0,1800,3067.05783
C10043,1526.59,740.29,2188.419607,11,27,3000,1262.309666
C10044,203.82,0,0,0,1,4500,868.275275
C10045,0,0,1481.587093,1,0,1500,378.294227
C10046,1525.44,1055.64,0,0,20,8500,1430.341501
C10047,437,340,184.648692,2,5,2400,0
C10048,109.74,109.74,1013.659552,1,3,1700,176.013005
C10049,0,0,1980.873201,7,0,4200,0
C10050,2390.6,987.67,0,0,87,3300,2543.953559
C10051,507.5,0,695.097159,2,3,4000,587.866451
C10052,901.42,255.35,8530.648614,37,9,12000,8113.297346
C10053,3107.85,886.11,0,0,18,2500,1399.82834
C10054,0,0,321.359135,3,0,3500,691.825279
C10055,1979.22,0,1981.265503,1,11,3000,3110.052742
C10056,310,310,0,0,8,1000,417.016763
C10057,1283.9,0,0,0,6,6000,0
C10058,313.27,0,668.468743,5,4,4000,0
C10059,5217.62,428.53,0,0,42,7500,5678.729613
C10060,0,0,224.575517,3,0,4000,764.938728
C10061,229,229,970.591332,4,6,6000,2110.557023
C10062,113,0,0,0,2,6500,3509.686561
C10063,66.2,0,0,0,1,1600,338.083661
C10064,0,0,3819.672466,7,0,4150,4372.148648
C10065,840,0,0,0,1,1600,0
C10067,1887.64,1887.64,1605.949371,4,61,1850,3688.045998
C10068,412.33,87.12,0,0,11,1800,777.451648
C10069,0,0,908.423608,1,0,1500,146.074769
C10070,0,0,382.908547,6,0,2500,540.022225
C10071,263.5,72.9,0,0,8,6000,6876.836205
C10072,1363.69,0,0,0,4,1700,1623.816348
C10073,419.1,419.1,625.399386,4,11,6250,1288.214909
C10074,4523.27,2859.18,27296.48576,27,33,7000,28232.69446
C10075,0,0,1474.349901,3,0,7000,910.457985
C10077,713.9,210.82,0,0,8,2250,889.017418
C10078,791.94,275.3,0,0,7,6000,1305.177304
C10079,561.87,312.37,0,0,14,6000,1990.044998
C10080,606.11,0,0,0,17,11000,2959.920544
C10081,320,320,0,0,8,1500,1438.910569
C10082,0,0,38.325801,1,0,1200,29.278671
C10083,388.66,0,4621.93458,7,7,7000,1624.583114
C10084,244.85,204.64,0,0,13,5000,357.802082
C10085,0,0,2985.300006,5,0,9500,116.569033
C10086,133.05,104.85,0,0,5,12000,210.053432
C10087,396,396,0,0,12,1200,725.606194
C10088,4915.6,400.26,293.844792,1,50,9000,4921.066897
C10089,1247.8,0,0,0,22,16500,1275.229436
C10090,1603.78,158.64,5626.004046,23,23,11000,4589.873897
C10092,2258.01,939.23,5251.228934,21,60,13500,3021.575846
C10093,45,0,104.238064,1,1,4500,1073.844885
