county fips code,illicit drug death
1001,63
1003,105
1005,26
1007,0
1009,2
1011,0
1013,4
1015,77
1017,28
1019,0
1021,15
1023,0
1025,9
1027,0
1029,6
1031,49
1033,12
1035,0
1037,0
1039,1
1041,1
1043,0
1045,27
1047,0
1049,26
1051,50
1053,18
1055,77
1057,0
1059,20
1061,8
1063,1
1065,4
1067,6
1069,120
1071,26
1073,461
1075,0
1077,70
1079,1
1081,155
1083,49
1085,3
1087,1
1089,82
1091,13
1093,20
1095,29
1097,73
1099,1
1101,0
1103,97
1105,6
1107,0
1109,37
1111,10
1113,68
1115,0
1117,127
1119,1
1121,2
1123,26
1125,211
1127,26
1129,1
1131,0
1133,7
1777,0
2013,4
2016,14
2020,568
2050,4
2060,0
2070,11
2090,139
2100,3
2110,41
2122,151
2130,63
2150,24
2164,0
2170,46
2180,19
2185,53
2188,5
2201,11
2220,39
2232,3
2240,0
2261,10
2270,0
2280,9
2282,0
2290,0
2777,0
2999,0
4001,141
4003,784
4005,982
4007,287
4009,154
4011,51
4012,210
4013,16710
4015,1609
4017,694
4019,6216
4021,1286
4023,216
4025,1142
4027,403
4777,0
5001,37
5003,31
5005,51
5007,1417
5009,137
5011,13
5013,17
5015,45
5017,6
5019,59
5021,54
5023,127
5025,1
5027,35
5029,232
5031,874
5033,123
5035,560
5037,29
5039,28
5041,54
5043,138
5045,614
5047,32
5049,29
5051,284
5053,36
5055,200
5057,78
5059,106
5061,115
5063,181
5065,23
5067,74
5069,173
5071,73
5073,13
5075,75
5077,34
5079,12
5081,7
5083,72
5085,277
5087,53
5089,68
5091,178
5093,93
5095,7
5097,0
5099,0
5101,14
5103,35
5105,4
5107,105
5109,60
5111,260
5113,56
5115,130
5117,8
5119,2008
5121,62
5123,100
5125,262
5127,60
5129,22
5131,943
5133,28
5135,35
5137,56
5139,69
5141,13
5143,1175
5145,299
5147,12
5149,57
6001,8947
6003,5
6005,234
6007,1881
6009,288
6011,134
6013,5945
6015,291
6017,1522
6019,7592
6021,169
6023,1204
6025,1831
6027,84
6029,9709
6031,1708
6033,963
6035,233
6037,49925
6039,662
6041,1240
6043,114
6045,1108
6047,1696
6049,129
6051,78
6053,2034
6055,773
6057,726
6059,17184
6061,1799
6063,222
6065,11902
6067,8929
6069,345
6071,17331
6073,16478
6075,1295
6077,2482
6079,1855
6081,3446
6083,3891
6085,8285
6087,1994
6089,1149
6091,16
6093,378
6095,2693
6097,3664
6099,4290
6101,628
6103,792
6105,309
6107,6368
6109,454
6111,7835
6113,1556
6115,607
6777,0
8001,1487
8003,46
8005,1696
8007,10
8009,7
8011,3
8013,679
8014,166
8015,53
8017,0
8019,12
8021,0
8023,5
8025,0
8027,3
8029,24
8031,2896
8033,1
8035,257
8037,136
8039,26
8041,1188
8043,32
8045,102
8047,23
8049,12
8051,42
8053,0
8055,12
8057,0
8059,1364
8061,3
8063,13
8065,3
8067,128
8069,814
8071,6
8073,0
8075,67
8077,748
8079,0
8081,59
8083,36
8085,142
8087,57
8089,26
8091,7
8093,10
8095,5
8097,15
8099,67
8101,245
8103,24
8105,11
8107,72
8109,9
8111,0
8113,0
8115,3
8117,9
8119,38
8121,1
8123,773
8125,1
8777,0
9001,1707
9003,3545
9005,228
9007,251
9009,2476
9011,594
9013,131
9015,165
9777,2
9999,873
10001,1182
10003,3639
10005,1376
11001,389
12001,0
12003,0
12005,0
12007,0
12009,0
12011,0
12013,0
12015,0
12017,0
12019,0
12021,0
12023,0
12027,0
12029,0
12031,0
12033,0
12035,0
12037,0
12039,0
12041,0
12043,0
12045,0
12047,0
12049,0
12051,0
12053,0
12055,0
12057,0
12059,0
12061,0
12063,0
12065,0
12067,0
12069,0
12071,0
12073,0
12075,0
12077,0
12079,0
12081,0
12083,0
12085,0
12086,0
12087,0
12089,0
12091,0
12093,0
12095,0
12097,0
12099,0
12101,0
12103,0
12105,0
12107,0
12109,0
12111,0
12113,0
12115,0
12117,0
12119,0
12121,0
12123,0
12125,0
12127,0
12129,0
12131,0
12133,0
12777,0
13001,89
13003,41
13005,73
13007,2
13009,159
13011,192
13013,239
13015,679
13017,46
13019,62
13021,773
13023,42
13025,109
13027,144
13029,193
13031,837
13033,12
13035,150
13037,4
13039,462
13043,70
13045,679
13047,332
13049,30
13051,1213
13053,90
13055,84
13057,1184
13059,474
13061,19
13063,426
13065,52
13067,3492
13069,335
13071,288
13073,495
13075,224
13077,846
13079,23
13081,185
13083,38
13085,200
13087,390
13089,2255
13091,74
13093,205
13095,272
13097,2018
13099,19
13101,24
13103,124
13105,133
13107,37
13109,10
13111,114
13113,427
13115,563
13117,531
13119,193
13121,6954
13123,70
13125,0
13127,348
13129,344
13131,76
13133,113
13135,1542
13137,324
13139,916
13141,3
13143,42
13145,198
13147,190
13149,105
13151,829
13153,664
13155,57
13157,297
13159,62
13161,111
