countycode,Electronic_prescriptions,Opioid,Population,Male,White,Poverty ,Income,Hospitals,Pharmacies
1001,63,0,55347,55221,26745,43358,4431,92,604
1005,26,0,26489,26932,14497,13353,2482,91,905
1007,0,0,22583,22604,12073,17296,2027,91,626
1009,2,0,57673,57710,28512,55783,6609,89,651
1011,0,0,10696,10678,5660,2962,1080,90,626
1013,4,0,20154,20354,9502,10869,1998,90,778
1015,77,0,115620,116648,56274,88576,10764,91,612
1017,28,0,34123,34079,16258,19932,3662,89,603
1019,0,0,25859,26008,12975,24256,2355,91,600
1021,15,0,43943,43819,21619,38605,5603,87,701
1023,0,0,13170,13395,6382,7527,1219,91,921
1025,9,0,24675,25070,11834,13435,2505,90,1253
1027,0,0,13555,13537,6671,11349,1542,89,606
1029,6,0,15018,15002,7334,14287,1465,90,561
1031,49,0,51211,50884,25174,39698,5077,90,681
1033,12,0,54354,54444,26303,44421,4651,91,624
1035,0,0,12672,12865,6176,6602,1457,89,853
1037,0,0,10724,11027,5579,7283,1138,89,666
1039,1,0,37835,37886,18339,32197,3681,90,1044
1041,1,0,13963,13938,6863,10142,1458,90,611
1043,0,0,82005,80965,40081,79487,9426,89,755
1045,27,0,49565,49866,24708,37710,4703,91,563
1047,0,0,41131,42154,19450,12007,4119,90,993
1049,26,0,71130,71068,35474,66837,10467,85,779
1051,50,0,81468,80763,39362,62507,6033,93,657
1053,18,0,37789,37935,19524,23736,4388,88,953
1055,77,0,103057,103766,50207,84587,9969,90,549
1057,0,0,16759,16896,8477,14528,1580,91,629
1059,20,0,31696,31634,15311,29299,4336,86,647
1061,8,0,26777,26815,13174,23625,3356,87,579
1063,1,0,8479,8697,4095,1599,830,90,660
1065,4,0,15068,15256,7183,6253,1481,90,657
1067,6,0,17221,17252,8259,12265,1820,89,568
1069,120,0,104173,103534,49563,73968,10048,90,582
1071,26,0,52419,52860,26076,48851,5827,89,1127
1075,0,0,13886,14133,6832,12231,1374,90,606
1077,70,0,92596,92737,44419,81255,8256,91,719
1079,1,0,33115,33586,16421,26891,3702,89,718
1081,155,0,156993,150982,74277,112368,15691,90,616
1083,49,0,91663,88805,44626,76249,9188,90,607
1085,3,0,10458,10742,5125,2774,1023,90,725
1087,1,0,19105,20018,9166,3366,1527,92,613
1089,82,0,353089,346438,169422,248777,30501,91,813
1091,13,0,20028,20306,9452,9579,1740,91,983
1093,20,0,30168,30387,15004,28519,3058,90,744
1095,29,0,94725,94318,46409,89514,12095,87,623
1099,1,0,21673,22217,10639,12237,2492,89,1035
1101,0,0,226519,228138,108296,88202,22761,90,800
1103,97,0,119565,119786,58814,101191,13488,89,599
1105,6,0,9652,10038,4651,3061,910,91,724
1107,0,0,20864,19856,9657,12226,1893,91,890
1109,37,0,33046,33155,15818,19521,3667,89,672
1111,10,0,22696,22648,11090,17804,2448,89,584
1113,68,0,59660,58302,28347,31703,5849,90,647
1115,0,0,87074,85864,43141,77190,8239,91,654
1119,1,0,13103,13341,5905,3430,1273,90,913
4013,16710,8.3,4167947,4018143,1986158,3559531,437561,90,9225
4015,1609,23.4,204737,203362,102371,190754,20035,90,13471
4019,6216,15.3,1010025,998537,491108,875969,98124,90,9189
6019,7592,6.6,974861,956749,477316,766922,91282,91,6018
6037,49925,2.8,10170292,10038388,4945351,7382838,1092708,89,4752
6059,17184,8.1,3169776,3116069,1539600,2374143,271391,91,948
6065,11902,5.8,2361026,2298032,1143477,1935315,218225,91,7304
6067,8929,2.9,1501335,1465832,717117,1003410,92561,94,996
6071,17331,1.8,2128133,2094769,1042053,1677023,179718,92,20106
6073,16478,7.6,3299521,3223096,1618945,2583430,263461,92,4526
6075,1295,11,864816,840763,427909,481211,45556,95,232
6077,2482,6.3,726106,708554,352400,510560,53841,93,1426
6097,3664,7.6,502146,495078,242817,448822,35290,93,1768
6111,7835,6.2,850536,840833,416484,734519,71633,92,2208
8031,2896,11.1,682545,649654,324730,561313,72028,89,155
9001,1707,18.7,107233,107393,52597,100880,8068,92,497
